description;category
Achat de billets pour un festival de musique pop;Loisirs
Paiement de l'abonnement à un service de streaming de musique rock;Musique
Commande de plats de cuisine japonaise à emporter;Alimentation
Achat de matériel de camping;Loisirs
Frais de réparation de la plomberie de la maison;Travaux de rénovation
Paiement de l'abonnement à un service de streaming de films d'horreur;Loisirs
Achat de billets pour un match de tennis;Sports
Frais de garde d'enfants pour une journée à Disneyland;Famille
Achat de matériel de photographie;Loisirs
Paiement de la facture d'eau;Services Publics
Achat de billets pour un festival de musique électronique;Loisirs
Paiement de l'abonnement à un service de streaming de musique rap;loisirs
Commande de plats de cuisine française à emporter;Alimentation
Achat de matériel de plongée sous-marine;Sports 
Frais de réparation du système de freinage de la voiture;Automobile
Paiement de l'abonnement à un service de streaming de films dramatiques;Loisirs
Achat de billets pour un match de baseball;Sports
Frais de garde d'enfants pour un anniversaire;Famille
Achat de matériel de musique;Musique
Paiement de la facture d'assurance santé;Assurance
Achat de billets pour un festival de cinéma;Loisirs
Paiement de l'abonnement à un service de streaming de musique classique;Musique
Commande de plats de cuisine indienne à emporte;Alimentation
Achat de matériel de randonnée;loisirs
Frais de réparation de l'électricité de la maison;Travaux de rénovation
Paiement de l'abonnement à un service de streaming de films fantastiques;Loisirs
Achat de billets pour un spectacle de comédie;Loisirs
Frais de garde d'enfants pour une sortie au parc d'attractions;Famille
Achat de matériel de poterie;Arts
Paiement de la facture de téléphone mobile;Services Publics
Achat de billets pour un festival de jazz;Loisirs
Paiement de l'abonnement à un service de streaming de musique hip-hop;Musique
Commande de plats de cuisine mexicaine à emporter;Alimentation
Achat de matériel de pêche en eau douce;Sports 
Frais de réparation du système de climatisation de la voiture;Automobile
Paiement de l'abonnement à un service de streaming de films de science-fiction;Loisirs
Achat de billets pour un match de hockey;Sports
Frais de garde d'enfants pour une soirée au cinéma;Famille
Achat de matériel de sculpture sur bois;Arts
Paiement de la facture d'assurance vie;Assurance
Achat de billets pour un festival de théâtre;Loisirs
Paiement de l'abonnement à un service de streaming de musique reggae;Musique
Commande de plats de cuisine végétalienne à emporter;Alimentation
Achat de matériel de plongée en apnée;Sports 
Frais de réparation du système de chauffage de la maison;Travaux de rénovation
Paiement de l'abonnement à une plateforme de cours en ligne;Éducation
Achat de billets pour un festival de musique classique;Loisirs
Paiement de l'abonnement à un service de streaming de musique électronique;Musique
Commande de plats de cuisine thaïlandaise à emporter;Alimentation
Achat de matériel de plongée en apnée;Sports 
Frais de réparation du système de freinage de la voiture;voiture
Achat de billets pour un spectacle de magie;Loisirs
rais de garde d'enfants pendant les vacances d'été;famille
Achat de matériel de dessin au fusain;Arts
Paiement de la facture de téléphone fixe;Services Publics
hat de billets pour un festival de danse contemporaine;Loisirs
Frais de réparation de la climatisation de la maison;Travaux de rénovation
Paiement de l'abonnement à un service de streaming de films d'action;Loisirs
Frais de garde d'enfants pour une journée spéciale;Famille
Achat de matériel de sculpture sur argile;Arts
Paiement de la facture d'assurance automobile;Assurance
Frais de réparation du système de chauffage de la maison;Travaux de rénovation
Paiement de l'abonnement à un service de streaming de films romantiques;loisirs
Achat de billets pour un match de soccer;sports
Achat de matériel de poterie;Arts
Paiement de la facture d'assurance voyage;Assurance
Achat de billets pour un festival de musique country;Loisirs
Frais de réparation du système de freinage de la moto;Automobile
Paiement de l'abonnement à un service de streaming de films de comédie;Loisirs
hat de billets pour un spectacle de magie;Loisirs
Frais de garde d'enfants pendant les vacances de Noël;Famille
Achat de matériel de couture;Loisirs 
Paiement de la facture de gaz naturel;Services Publics
Achat de matériel de modélisme;loisirs
Frais de garde d'enfants pour une journée à la plage;Famille
Frais de garde d'enfants en bas âge;Famille
Commande de plats de cuisine asiatique à emporter;Alimentation
Courses au supermarché;Alimentation
Loyer du mois;Logement
Essence pour la voiture;Transport
Dîner au restaurant;Loisirs
Facture d'électricité;Services Publics
Achat de vêtements;Shopping
Billet de train;Transport
Location de film en streaming;loisirs
Cadeau d'anniversaire;famille
Frais médicaux;Santé
